scenario,source,variable,shock,horizon,response
rstar_2,dynare,pi,e_pi,13,-1.7140725752e-06
rstar_2,dynare,pi,e_pi,14,-1.12383053878e-06
rstar_2,dynare,pi,e_pi,15,-7.36838741932e-07
rstar_2,dynare,pi,e_pi,16,-4.83107828874e-07
rstar_2,dynare,pi,e_pi,17,-3.16749325243e-07
rstar_2,dynare,pi,e_pi,18,-2.07676483479e-07
rstar_2,dynare,pi,e_pi,19,-1.36162947647e-07
rstar_2,dynare,pi,e_i,0,-0.000881804121759
rstar_2,dynare,pi,e_i,1,-0.000578154283309
rstar_2,dynare,pi,e_i,2,-0.000379066469593
rstar_2,dynare,pi,e_i,3,-0.000248534677539
rstar_2,dynare,pi,e_i,4,-0.000162951595285
rstar_2,dynare,pi,e_i,5,-0.000106839104583
rstar_2,dynare,pi,e_i,6,-7.00489875417e-05
rstar_2,dynare,pi,e_i,7,-4.59275718828e-05
rstar_2,dynare,pi,e_i,8,-3.01123818213e-05
rstar_2,dynare,pi,e_i,9,-1.97431630234e-05
rstar_2,dynare,pi,e_i,10,-1.29445916461e-05
rstar_2,dynare,pi,e_i,11,-8.48711286465e-06
rstar_2,dynare,pi,e_i,12,-5.56456987956e-06
rstar_2,dynare,pi,e_i,13,-3.64840652391e-06
rstar_2,dynare,pi,e_i,14,-2.39207529995e-06
rstar_2,dynare,pi,e_i,15,-1.56836257229e-06
rstar_2,dynare,pi,e_i,16,-1.02829587272e-06
rstar_2,dynare,pi,e_i,17,-6.74201501955e-07
rstar_2,dynare,pi,e_i,18,-4.42039764331e-07
rstar_2,dynare,pi,e_i,19,-2.89823076162e-07
rstar_2,dynare,i,e_x,0,0.000156124600345
rstar_2,dynare,i,e_x,1,0.000102362989911
rstar_2,dynare,i,e_x,2,6.71142259477e-05
rstar_2,dynare,i,e_x,3,4.40033974044e-05
rstar_2,dynare,i,e_x,4,2.885079811e-05
rstar_2,dynare,i,e_x,5,1.8916006506e-05
rstar_2,dynare,i,e_x,6,1.24022670281e-05
rstar_2,dynare,i,e_x,7,8.13153809115e-06
rstar_2,dynare,i,e_x,8,5.33143751688e-06
rstar_2,dynare,i,e_x,9,3.49555344607e-06
rstar_2,dynare,i,e_x,10,2.29185728158e-06
rstar_2,dynare,i,e_x,11,1.5026546955e-06
rstar_2,dynare,i,e_x,12,9.85214547201e-07
rstar_2,dynare,i,e_x,13,6.45955259662e-07
rstar_2,dynare,i,e_x,14,4.23520134442e-07
rstar_2,dynare,i,e_x,15,2.77680693198e-07
rstar_2,dynare,i,e_x,16,1.8206116098e-07
rstar_2,dynare,i,e_x,17,1.19368278564e-07
rstar_2,dynare,i,e_x,18,7.82637320914e-08
rstar_2,dynare,i,e_x,19,5.13135636586e-08
rstar_2,dynare,i,e_pi,0,0.000224241185236
rstar_2,dynare,i,e_pi,1,0.000147023583287
rstar_2,dynare,i,e_pi,2,9.63959141575e-05
rstar_2,dynare,i,e_pi,3,6.32019167164e-05
rstar_2,dynare,i,e_pi,4,4.14382944706e-05
rstar_2,dynare,i,e_pi,5,2.71689900852e-05
rstar_2,dynare,i,e_pi,6,1.78133301981e-05
rstar_2,dynare,i,e_pi,7,1.16792980435e-05
rstar_2,dynare,i,e_pi,8,7.65752395942e-06
rstar_2,dynare,i,e_pi,9,5.02065046809e-06
rstar_2,dynare,i,e_pi,10,3.29178612517e-06
rstar_2,dynare,i,e_pi,11,2.15825737376e-06
rstar_2,dynare,i,e_pi,12,1.4150600052e-06
rstar_2,dynare,i,e_pi,13,9.27783147025e-07
rstar_2,dynare,i,e_pi,14,6.08300400506e-07
rstar_2,dynare,i,e_pi,15,3.98831751194e-07
rstar_2,dynare,i,e_pi,16,2.61493771215e-07
rstar_2,dynare,i,e_pi,17,1.71448216396e-07
rstar_2,dynare,i,e_pi,18,1.12409908538e-07
rstar_2,dynare,i,e_pi,19,7.37014814326e-08
rstar_2,dynare,i,e_i,0,0.000477297761473
rstar_2,dynare,i,e_i,1,0.000312939958433
rstar_2,dynare,i,e_i,2,0.000205178874675
rstar_2,dynare,i,e_i,3,0.000134525392103
rstar_2,dynare,i,e_i,4,8.82014834575e-05
rstar_2,dynare,i,e_i,5,5.78292437025e-05
rstar_2,dynare,i,e_i,6,3.79157049985e-05
rstar_2,dynare,i,e_i,7,2.48594066512e-05
rstar_2,dynare,i,e_i,8,1.62990533626e-05
rstar_2,dynare,i,e_i,9,1.0686463448e-05
rstar_2,dynare,i,e_i,10,7.00657262017e-06
rstar_2,dynare,i,e_i,11,4.59385465741e-06
rstar_2,dynare,i,e_i,12,3.01195773703e-06
