scenario,scenario_type,variable,shock,impact_pp,peak_response_pp,peak_abs_pp,peak_horizon,cumulative_abs_pp,first_sign_change_horizon,response_h4_pp,response_h8_pp,response_h19_pp,source
phi_pi_2p2,phi_pi,x,e_pi,-0.16607897981199998,-0.16607897981199998,0.16607897981199998,0,0.47344679883469987,,-0.0295141224862,-0.00524499504462,-4.53379523e-05,dynare
phi_pi_2p2,phi_pi,x,e_x,0.401889673888,0.401889673888,0.401889673888,0,0.5834656746231608,1.0,-0.017435320142799998,-0.00309845457181,-2.67831684083e-05,dynare
rho_calibrated_0p80,rho_i,i,e_i,0.0454375573644,0.0454375573644,0.0454375573644,0,0.09762234327437881,,0.0037102158775699995,0.000302958668042,3.0856022416e-07,dynare
rho_calibrated_0p80,rho_i,i,e_pi,0.0647819292129,0.0647819292129,0.0647819292129,0,0.1391836203007334,,0.00528978572545,0.00043193886568600003,4.3992520191e-07,dynare
rho_calibrated_0p80,rho_i,i,e_x,0.0451034576779,0.0451034576779,0.0451034576779,0,0.09690453192685478,,0.0036829348784699996,0.000300731030777,3.06291398928e-07,dynare
rho_calibrated_0p80,rho_i,pi,e_i,-0.0275361223337,-0.0275361223337,0.0275361223337,0,0.05916120810254643,,-0.00224846942079,-0.000183599370854,-1.86994032514e-07,dynare
rho_calibrated_0p80,rho_i,pi,e_pi,0.237740778526,0.237740778526,0.237740778526,0,0.28282977948609334,1.0,-0.00320572221096,-0.000261764103005,-2.66603991945e-07,dynare
rho_calibrated_0p80,rho_i,pi,e_x,0.022666349154100002,0.022666349154100002,0.022666349154100002,0,0.05405889752760956,1.0,-0.0022319365574,-0.00018224937548,-1.8561907639300002e-07,dynare
rho_calibrated_0p80,rho_i,x,e_i,-0.129247998188,-0.129247998188,0.129247998188,0,0.2776886166102439,,-0.0105537797989,-0.0008617717071420001,-8.7770544025e-07,dynare
rho_calibrated_0p80,rho_i,x,e_pi,-0.184273432711,-0.184273432711,0.184273432711,0,0.3959104614761417,,-0.015046896345599999,-0.00122865833834,-1.251375624e-06,dynare
rho_calibrated_0p80,rho_i,x,e_x,0.371702354739,0.371702354739,0.371702354739,0,0.5190514980257326,1.0,-0.0104761784768,-0.000855435150472,-8.71251723778e-07,dynare
rstar_2,rstar,i,e_i,0.0477297761473,0.0477297761473,0.0477297761473,0,0.13857818541873548,,0.00882014834575,0.0016299053362600002,1.5687373427e-05,dynare
rstar_2,rstar,i,e_pi,0.0224241185236,0.0224241185236,0.0224241185236,0,0.06510597588022465,,0.00414382944706,0.000765752395942,7.370148143260001e-06,dynare
