variable,period,e_x,e_pi,e_i,initial,smoothed
pi,22,0.001747172425,0.006799900624,-0.003827557525,-1.090010219e-08,0.004719504624
pi,23,0.0009630543645,0.0007556151467,-0.003044230204,-6.683919227e-09,-0.001325567376
pi,24,0.0004697497085,-0.0106197329,-0.003189574473,-3.715814221e-09,-0.01333956138
pi,25,-0.0008913244017,-0.001612624077,-0.001838641035,-1.861807248e-09,-0.004342591376
pi,26,-0.002026477867,0.01259592856,0.001234306741,-8.13002065e-10,0.01180375662
pi,27,-0.002699138857,0.02241746735,0.004305435407,-2.768607461e-10,0.02402376362
pi,28,-0.001962126976,0.004053642551,0.004647037085,-3.580520255e-11,0.006738552624
pi,29,-0.001283335697,0.0002174933201,0.003757274949,5.14743595e-11,0.002691432624
pi,30,-0.002406943614,0.01886766781,0.005487428362,6.77414895e-11,0.02194815262
pi,31,-0.003118154877,0.02084886995,0.004248806491,5.693594901e-11,0.02197952162
pi,32,-0.003518908224,-0.008262266691,-0.001664284502,3.985647576e-11,-0.01344545938
pi,33,-0.006314499514,-0.01116246389,0.0001205240043,2.479154035e-11,-0.01735643938
pi,34,-0.009353673523,-0.01036312957,0.008367253703,1.396980101e-11,-0.01134954938
pi,35,-0.007294767974,-0.009783327304,0.009673687895,7.109669624e-12,-0.007404407376
pi,36,-0.003029122384,-0.01928498298,0.004988537982,3.176403585e-12,-0.01732556738
pi,37,0.0002118231999,-0.001818472553,0.001289096976,1.135410125e-12,-0.0003175523762
pi,38,0.004068868205,-0.003790966134,-0.0005984694479,1.983766883e-13,-0.0003205673762
pi,39,0.007111509062,-0.003511369631,-0.003926730807,-1.549875679e-13,-0.0003265913762
pi,40,0.008154187388,-0.006704469709,-0.007787284055,-2.335562299e-13,-0.006337566376
pi,41,0.007329440222,0.004623633212,-0.00824759281,-2.036465614e-13,0.003705480624
pi,42,0.006734246088,0.002870827049,-0.009919616514,-1.454136291e-13,-0.0003145433762
pi,43,0.004969025044,0.003658975122,-0.009951557543,-9.178205071e-14,-0.001323557376
pi,44,0.003406730104,0.00836091127,-0.00704511875,-5.241640455e-14,0.004722522624
pi,45,0.002059571555,-0.0005554201188,-0.003830710813,-2.708206923e-14,-0.002326559376
pi,46,0.001031740092,-0.00981595132,-0.002559356148,-1.235817004e-14,-0.01134356738
pi,47,-0.0004602827851,0.001999266247,-0.0008635508382,-4.605799249e-15,0.0006754326238
pi,48,-0.001507672991,-0.006162567582,-0.0007003268035,-9.749145935e-16,-0.008370567376
pi,49,-0.002168598063,0.0001734472879,-0.000331408601,4.414871246e-16,-0.002326559376
pi,50,-0.002373266511,-0.005242319593,-0.0007549812724,7.997075224e-16,-0.008370567376
pi,51,-0.002636144019,0.003590863613,-0.0002642569702,7.278249184e-16,0.0006904626238
pi,52,-0.003008691412,0.003496584428,0.001205563608,5.310422241e-16,0.001693456624
pi,53,-0.003236785915,0.005801062937,0.003161235602,3.365363543e-16,0.005725512624
pi,54,-0.002826044493,-0.0007241324031,0.00423662752,1.947227102e-16,0.0006864506238
pi,55,-0.002869370087,0.001663229627,0.004911621083,1.010476425e-16,0.003705480624
pi,56,-0.002128051643,-0.006443199342,0.005190683609,4.423544864e-17,-0.003380567376
pi,57,-0.00116815706,-0.001754440837,0.004616054521,1.713039433e-17,0.001693456624
pi,58,-0.0001320840585,-0.0003292115401,0.004172788222,3.469446952e-18,0.003711492624
pi,59,2.438793676e-05,0.002809286299,0.003908898388,-3.469446952e-18,0.006742572624
pi,60,0.0009073601675,-0.007938345689,0.001690418145,0,-0.005340567376
pi,61,0.001544825285,0.0006912330263,0.0004704343123,-2.602085214e-18,0.002706492624
pi,62,0.001194192934,-0.001344047646,-0.0001646886643,-3.035766083e-18,-0.0003145433762
pi,63,0.001182062815,-0.005489594593,-0.001029035598,-2.602085214e-18,-0.005336567376
pi,64,0.0009224478747,-0.006946571155,-0.002320448095,-3.469446952e-18,-0.008344571376
pi,65,0.0001665684797,0.003439974357,-0.001909070213,-1.734723476e-18,0.001697472624
pi,66,0.0005586727706,-0.009667432694,-0.001241815453,0,-0.01035057538
pi,67,0.001576879975,-0.008136974235,-0.0007844811165,-8.67361738e-19,-0.007344575376
pi,68,0.001944510813,-0.003229567467,-4.250472179e-05,-2.168404345e-19,-0.001327561376
pi,69,0.002287411408,-0.005413981092,0.0007960023075,-8.67361738e-19,-0.002330567376
pi,70,0.002319248089,-0.006370138321,0.001725331856,-1.734723476e-18,-0.002325558376
pi,71,0.00150896644,-0.004308350448,0.002484840631,4.33680869e-19,-0.0003145433762
pi,72,0.001623232701,-0.01000348461,0.002035684534,-8.67361738e-19,-0.006344567376
pi,73,0.001008423616,-0.005676736317,0.001332745325,-4.33680869e-19,-0.003335567376
pi,74,0.0009207844962,-0.003343044635,0.002099692763,-1.084202172e-18,-0.0003225673762
pi,75,-2.13505207e-05,-0.008936425827,0.003621208972,-1.734723476e-18,-0.005336567376
pi,76,-0.002628049956,-0.001099896206,0.004404386785,-2.168404345e-18,0.0006764406238
pi,77,-0.001273988065,7.925844469e-05,0.004908234244,-2.602085214e-18,0.003713504624
pi,78,-0.006394981511,-0.005785890139,0.000841304273,-6.938893904e-18,-0.01133956738
pi,79,-0.001289263694,0.003705964706,-0.003744262388,-7.372574773e-18,-0.001327561376
pi,80,0.005951243383,-0.00112225305,-0.005158578709,-5.204170428e-18,-0.0003295883762
pi,81,0.01002116717,-0.002834022002,-0.003477656546,-8.239936511e-18,0.003709488624
pi,82,0.01039035363,-0.01008211287,-0.001629796142,-3.469446952e-18,-0.001321555376
pi,83,0.01073501882,0.002212381371,0.001888416435,-3.469446952e-18,0.01483581662
